gene_id,p22074-s001,p22074-s002,p22074-s003,p22074-s004,p22074-s005,p22074-s006,p22074-s007,p22074-s008,p22074-s009,p22074-s010,p22074-s011,p22074-s012
Tent2,712,714,689,1166,155,934,836,826,716,810,885,708
Gm2076,3,1,1,5,0,3,2,0,1,2,0,0
Homer1,231,250,268,372,48,319,216,235,186,282,244,240
Gm47075,0,0,0,0,0,0,0,0,0,0,0,0
Gm47088,1,0,1,0,0,2,0,0,6,1,3,0
Gm47155,0,0,0,0,0,0,0,0,0,0,0,3
Gm18960,0,0,0,0,0,0,0,0,0,0,0,0
Jmy,128,102,112,191,35,155,137,145,116,150,205,142
Gm6109,1,2,4,5,0,0,1,2,1,0,0,0
Gm30155,2,0,0,1,0,0,0,0,2,2,0,0
Bhmt,752,1427,1260,509,82,512,1500,2089,1528,1718,1859,1463
